Date,adj_close,close,high,low,open,volume,garman_klass_volatility,dollar_volume,ema,obv,macd,ma_3_days
2024-10-21,236.22010803222656,236.47999572753906,236.85000610351562,234.4499969482422,234.4499969482422,36254500,2.315234384879045e-05,8573.464005104064,236.47999572753906,0,0.0,
2024-10-22,235.60079956054688,235.86000061035156,236.22000122070312,232.60000610351562,233.88999938964844,38846600,9.207212561642888e-05,9162.359099710084,236.39732971191407,-38846600,-0.04945829994656492,
2024-10-23,230.5063934326172,230.75999450683594,235.13999938964844,227.75999450683594,234.0800018310547,52287000,0.0004296182716397378,12065.74783277893,235.64568501790365,-91133600,-0.49448214662450596,234.36666361490884
2024-10-24,230.31661987304688,230.57000732421875,230.82000732421875,228.41000366210938,229.97999572753906,31109500,5.254641646782133e-05,7172.9176428527835,234.968927992079,-122243100,-0.8526681020753131,232.39666748046875
2024-10-25,231.1556854248047,231.41000366210938,233.22000122070312,229.57000732421875,229.74000549316406,38802300,0.00010414837960930657,8979.240385098266,234.49440474808304,-83440800,-1.056572853869369,230.91333516438803
2024-10-28,233.14349365234375,233.39999389648438,234.72999572753906,232.5500030517578,233.32000732421875,36087100,4.3484948579950685e-05,8422.728919741821,234.3484833012032,-47353700,-1.0455409130300382,231.7933349609375
2024-10-29,233.41319274902344,233.6699981689453,234.3300018310547,232.32000732421875,233.10000610351562,35417200,3.480171535380063e-05,8275.93705914917,234.25801861690215,-11936500,-1.003443856016247,232.82666524251303
2024-10-30,229.8471221923828,230.10000610351562,233.47000122070312,229.5500030517578,232.61000061035156,47070900,9.788942141846077e-05,10831.014377297974,233.70361694845062,-59007400,-1.2438122655010488,232.38999938964844
2024-10-31,225.66172790527344,225.91000366210938,229.8300018310547,225.3699951171875,229.33999633789062,64370100,0.00010429371130449089,14541.849526730346,232.66446851027177,-123377500,-1.7522058036939256,229.8933359781901
2024-11-01,222.66502380371094,222.91000366210938,225.35000610351562,220.27000427246094,220.97000122070312,65276700,0.00023041975257330399,14550.829436050415,231.36387319718347,-188654200,-2.3698679113527987,226.30667114257812
2024-11-04,221.76600646972656,222.00999450683594,222.7899932861328,219.7100067138672,220.99000549316406,44944500,8.87065683544921e-05,9978.128198112488,230.1166893718038,-233598700,-2.8985797754793907,223.61000061035156
2024-11-05,223.2044219970703,223.4499969482422,223.9499969482422,221.13999938964844,221.8000030517578,28111300,5.8498553762569757e-05,6281.469899211121,229.22779704866227,-205487400,-3.1649084796774503,222.78999837239584
2024-11-06,222.47523498535156,222.72000122070312,226.07000732421875,221.19000244140625,222.61000061035156,54561100,0.00023801967377303822,12151.848258602906,228.36009093826772,-260048500,-3.395736514169897,222.7266642252604
2024-11-07,227.22999572753906,227.47999572753906,227.8800048828125,224.57000732421875,224.6300048828125,42137700,4.564047922050547e-05,9585.483815968322,228.24274491017056,-217910800,-3.1581721758147125,224.54999796549478
2024-11-08,226.9600067138672,226.9600067138672,228.66000366210938,226.41000366210938,227.1699981689453,38328800,4.85625014706012e-05,8699.104705334472,228.07171315066347,-256239600,-2.97753630866913,225.72000122070312
2024-11-11,224.22999572753906,224.22999572753906,225.6999969482422,221.5,225.0,42005600,0.00017188113736914476,9418.915508532715,227.55948416091354,-298245200,-3.019859097607764,226.22333272298178
2024-11-12,224.22999572753906,224.22999572753906,225.58999633789062,223.36000061035156,224.5500030517578,40398300,4.856003925264007e-05,9058.510636399842,227.11555236979694,-298245200,-3.018603629139676,225.13999938964844
2024-11-13,225.1199951171875,225.1199951171875,226.64999389648438,222.75999450683594,224.00999450683594,48566200,0.0001404149019364254,10933.222706860352,226.84947806944902,-249679000,-2.912222856332164,224.52666219075522
2024-11-14,228.22000122070312,228.22000122070312,228.8699951171875,225.0,225.02000427246094,44923900,6.838924496286153e-05,10252.532512838745,227.03221448961625,-204755100,-2.548394437967943,225.8566640218099
2024-11-15,225.0,225.0,226.9199981689453,224.27000427246094,226.39999389648438,47923700,5.413078400671698e-05,10782.8325,226.76125255766743,-252678800,-2.491168345026807,226.11333211263022
2024-11-18,228.02000427246094,228.02000427246094,229.74000549316406,225.1699981689453,225.25,44686000,0.00014414816361599833,10189.30191091919,226.9290861196399,-207992800,-2.177031682440429,227.0800018310547
2024-11-19,228.27999877929688,228.27999877929688,230.16000366210938,226.66000366210938,226.97999572753906,36211800,0.00010480727282211894,8266.429659796142,227.10920780759415,-171781000,-1.8853634341998884,227.1000010172526
